driver,workload,page,val,dist,ops,ns_per_op,ops_per_s
ncruces,load,16384,128,uniform,200000,1781,561488
ncruces,step,16384,128,uniform,500000,142,7037829
ncruces,get-hot,16384,128,uniform,500000,2102,475791
ncruces,get-cold,16384,128,uniform,500000,2174,460081
ncruces,set,16384,128,uniform,50000,3639,274810
ncruces,drain,16384,128,uniform,200000,2074,482160
ncruces,helem-drain,16384,128,uniform,200000,2371,421761
ncruces,helem-get,16384,128,uniform,500000,2195,455525
ncruces,pool-read-r4,16384,128,uniform,2336417,856,1168208
ncruces,pool-drain-r4,16384,128,uniform,910592,2196,455296
ncruces,load,16384,128,zipf,200000,1767,565869
ncruces,step,16384,128,zipf,500000,143,6977546
ncruces,get-hot,16384,128,zipf,500000,1886,530200
ncruces,get-cold,16384,128,zipf,500000,1937,516177
ncruces,set,16384,128,zipf,50000,3658,273364
ncruces,drain,16384,128,zipf,200000,2081,480651
ncruces,helem-drain,16384,128,zipf,200000,2356,424492
ncruces,helem-get,16384,128,zipf,500000,2056,486487
ncruces,pool-read-r4,16384,128,zipf,2651264,754,1325632
ncruces,pool-drain-r4,16384,128,zipf,910592,2196,455296
ncruces,load,16384,512,uniform,200000,2157,463598
ncruces,step,16384,512,uniform,500000,144,6957851
ncruces,get-hot,16384,512,uniform,500000,3414,292939
ncruces,get-cold,16384,512,uniform,500000,3518,284288
ncruces,set,16384,512,uniform,50000,3914,255461
ncruces,drain,16384,512,uniform,200000,2293,436088
ncruces,helem-drain,16384,512,uniform,200000,3018,331296
ncruces,helem-get,16384,512,uniform,500000,3518,284214
ncruces,pool-read-r4,16384,512,uniform,1629844,1227,814922
ncruces,pool-drain-r4,16384,512,uniform,820480,2438,410240
ncruces,load,16384,512,zipf,200000,2194,455834
ncruces,step,16384,512,zipf,500000,141,7106832
ncruces,get-hot,16384,512,zipf,500000,2143,466657
ncruces,get-cold,16384,512,zipf,500000,2209,452620
ncruces,set,16384,512,zipf,50000,3874,258148
ncruces,drain,16384,512,zipf,200000,2290,436623
ncruces,helem-drain,16384,512,zipf,200000,2960,337818
ncruces,helem-get,16384,512,zipf,500000,2441,409699
ncruces,pool-read-r4,16384,512,zipf,2497328,801,1248664
ncruces,pool-drain-r4,16384,512,zipf,828672,2414,414336
