arm,mix,value_size,dist,scale,rep,order,keys,server,version,ops_per_sec,value_ops_per_sec,hit_ratio,p50_us,p99_us,used_memory,vmhwm_bytes,disk_bytes,coverage_fraction
data,90,16,uniform,1,1,aki redis valkey,1157049,f3,unknown,1757400.7,1757400.7,1,389.887,3510.271,73639088,105308160,0,1
data,90,16,uniform,1,1,aki redis valkey,1157049,redis,redis 8.8.0,2710983.8,2710983.8,1,262.143,2922.495,86499872,112594944,0,1
data,90,16,uniform,1,1,aki redis valkey,1157049,valkey,valkey 9.1.0,3142076.4,3142076.4,1,195.327,3950.591,74485216,86544384,0,1
data,90,16,uniform,1,2,valkey redis aki,1157049,f3,unknown,1771716.4,1771716.4,1,382.207,3512.319,73639088,106094592,0,1
data,90,16,uniform,1,2,valkey redis aki,1157049,redis,redis 8.8.0,2623246.7,2623246.7,1,272.895,2942.975,86497856,110710784,0,1
data,90,16,uniform,1,2,valkey redis aki,1157049,valkey,valkey 9.1.0,3158116.6,3158116.6,1,194.431,3938.303,74476576,86261760,0,1
data,90,16,uniform,4,1,aki redis valkey,4628197,f3,unknown,1750473.9,1750473.9,1,394.495,3459.071,294814896,361693184,0,1
data,90,16,uniform,4,1,aki redis valkey,4628197,redis,redis 8.8.0,2662629.1,2662629.1,1,271.103,2926.591,344053952,401625088,0,1
data,90,16,uniform,4,1,aki redis valkey,4628197,valkey,valkey 9.1.0,3123886.2,3123886.2,1,200.703,3878.911,295434144,316133376,0,1
data,90,16,uniform,4,2,valkey redis aki,4628197,f3,unknown,1756063.5,1756063.5,1,390.655,3467.263,294814896,363483136,0,1
data,90,16,uniform,4,2,valkey redis aki,4628197,redis,redis 8.8.0,2617772.5,2617772.5,1,276.991,2955.263,344055392,403595264,0,1
data,90,16,uniform,4,2,valkey redis aki,4628197,valkey,valkey 9.1.0,3121021.2,3121021.2,1,201.855,3872.767,295451040,315957248,0,1
data,90,16,uniform,16,1,aki redis valkey,18512790,f3,unknown,1727610.1,1727610.1,1,400.639,3536.895,1179571360,1358012416,0,1
data,90,16,uniform,16,1,aki redis valkey,18512790,redis,redis 8.8.0,2582651.7,2582651.7,1,282.623,2877.439,1374284888,1561911296,0,1
data,90,16,uniform,16,1,aki redis valkey,18512790,valkey,valkey 9.1.0,3003294.6,3003294.6,1,214.527,3846.143,1179262928,1235202048,0,1
data,90,16,uniform,16,2,valkey redis aki,18512790,f3,unknown,1765780.3,1765780.3,1,387.327,3450.879,1179571360,1357553664,0,1
