row,rep,aki_ops,redis_ops,valkey_ops,aki_mbps,redis_mbps,valkey_mbps,vsR,vsV
M5-G5,1,104200,64530,57457,1092.8,676.8,602.6,1.61,1.81
M5-G5,2,101236,68288,60165,1061.7,716.2,631.0,1.48,1.68
M5-G5,3,105171,69604,60515,1103.0,730.0,634.7,1.51,1.74
M5-G5,median,104200,68288,60165,1092.8,716.2,631.0,1.51,1.74
M5-G5,before,60400,69522,61377,633.5,729.1,643.7,0.87,0.98
