arm,mix,value_size,dist,scale,rep,order,keys,server,version,ops_per_sec,value_ops_per_sec,hit_ratio,p50_us,p99_us,used_memory,vmhwm_bytes,disk_bytes,coverage_fraction
cap,10,512,zipfian,16,2,valkey redis aki,3508960,valkey,valkey 9.1.0,1563023.3,1527244.5,0.9771,557.055,2985.983,133490096,313810944,0,0.051
cap,10,4096,uniform,1,1,aki redis valkey,31987,f3,unknown,863055.9,863055.9,1,662.015,4759.551,137195152,909012992,23797760,1
cap,10,4096,uniform,1,1,aki redis valkey,31987,redis,redis 8.8.0,1032319.8,1010082.7,0.9785,447.743,4898.815,131313784,236326912,0,0.783
cap,10,4096,uniform,1,1,aki redis valkey,31987,valkey,valkey 9.1.0,1304714.6,1276772.1,0.9786,311.039,5492.735,131616264,353415168,0,0.7785
cap,10,4096,uniform,1,2,valkey redis aki,31987,f3,unknown,862499.3,862499.3,1,663.039,4812.799,130879120,909398016,21716992,1
cap,10,4096,uniform,1,2,valkey redis aki,31987,redis,redis 8.8.0,996315.3,974921.7,0.9785,463.359,5189.631,131259240,239132672,0,0.792
cap,10,4096,uniform,1,2,valkey redis aki,31987,valkey,valkey 9.1.0,1295008.8,1267355.7,0.9786,313.087,5472.255,131158200,360779776,0,0.776
cap,10,4096,uniform,4,1,aki redis valkey,127948,f3,unknown,411448.7,411448.7,1,868.351,43974.655,137855936,895139840,531226624,1
cap,10,4096,uniform,4,1,aki redis valkey,127948,redis,redis 8.8.0,915473.5,842132.2,0.9199,495.871,5173.247,131726032,236023808,0,0.194
cap,10,4096,uniform,4,1,aki redis valkey,127948,valkey,valkey 9.1.0,1036956.8,953843.6,0.9198,425.727,5636.095,131768176,344981504,0,0.197
cap,10,4096,uniform,4,2,valkey redis aki,127948,f3,unknown,423957.7,423957.7,1,860.159,43384.831,135193536,892772352,761880576,1
cap,10,4096,uniform,4,2,valkey redis aki,127948,redis,redis 8.8.0,885592.1,814581.6,0.9198,513.279,5476.351,131689552,236797952,0,0.1995
cap,10,4096,uniform,4,2,valkey redis aki,127948,valkey,valkey 9.1.0,1026537.8,944282.4,0.9199,430.335,5648.383,131747240,346861568,0,0.1945
cap,10,4096,uniform,16,1,aki redis valkey,511793,f3,unknown,415634.2,415634.2,1,768.511,5300.223,142654896,886009856,2636697600,1
cap,10,4096,uniform,16,1,aki redis valkey,511793,redis,redis 8.8.0,928306.7,840163.6,0.905,489.983,5169.151,131735832,238383104,0,0.0445
cap,10,4096,uniform,16,1,aki redis valkey,511793,valkey,valkey 9.1.0,978640.1,885688.0,0.905,454.399,5631.999,131768728,358658048,0,0.0515
cap,10,4096,uniform,16,2,valkey redis aki,511793,f3,unknown,395254.1,395254.1,1,820.223,5849.087,139832752,886853632,3496529920,1
cap,10,4096,uniform,16,2,valkey redis aki,511793,redis,redis 8.8.0,883107.6,799265.0,0.9051,505.599,5619.711,131747840,237875200,0,0.045
cap,10,4096,uniform,16,2,valkey redis aki,511793,valkey,valkey 9.1.0,977731.3,884889.1,0.905,441.343,5767.167,131761016,364728320,0,0.0455
cap,10,4096,zipfian,1,1,aki redis valkey,31987,f3,unknown,1343881.9,1343881.9,1,488.959,3885.055,133770896,913670144,23801856,1
cap,10,4096,zipfian,1,1,aki redis valkey,31987,redis,redis 8.8.0,1179505.2,1175930.7,0.997,363.263,5054.463,131024280,238690304,0,0.7845
cap,10,4096,zipfian,1,1,aki redis valkey,31987,valkey,valkey 9.1.0,1448456.5,1444148.4,0.997,263.167,5382.143,130925296,307347456,0,0.782
cap,10,4096,zipfian,1,2,valkey redis aki,31987,f3,unknown,1340166.5,1340166.5,1,494.335,3909.631,132058768,908820480,18280448,1
cap,10,4096,zipfian,1,2,valkey redis aki,31987,redis,redis 8.8.0,1137916.6,1134516.2,0.997,373.247,5394.431,130538904,239173632,0,0.76
cap,10,4096,zipfian,1,2,valkey redis aki,31987,valkey,valkey 9.1.0,1423002.7,1418727.5,0.997,274.175,5382.143,131279312,310493184,0,0.808
cap,10,4096,zipfian,4,1,aki redis valkey,127948,f3,unknown,748715.9,748715.9,1,607.743,5177.343,135742400,841945088,546922496,1
cap,10,4096,zipfian,4,1,aki redis valkey,127948,redis,redis 8.8.0,1059411.0,1042156.5,0.9837,435.455,4911.103,131616792,237584384,0,0.1925
cap,10,4096,zipfian,4,1,aki redis valkey,127948,valkey,valkey 9.1.0,1349478.4,1327714.0,0.9839,302.591,5406.719,131360592,334610432,0,0.1975
cap,10,4096,zipfian,4,2,valkey redis aki,127948,f3,unknown,864147.4,864147.4,1,603.647,5296.127,137130944,847785984,612982784,1
cap,10,4096,zipfian,4,2,valkey redis aki,127948,redis,redis 8.8.0,1021361.0,1004728.0,0.9837,454.399,5124.095,131520840,237084672,0,0.209
cap,10,4096,zipfian,4,2,valkey redis aki,127948,valkey,valkey 9.1.0,1336674.0,1315033.9,0.9838,307.199,5341.183,131490800,340639744,0,0.18
cap,10,4096,zipfian,16,1,aki redis valkey,511793,f3,unknown,781683.3,781683.3,1,638.975,4390.911,147045808,899731456,2591608832,1
cap,10,4096,zipfian,16,1,aki redis valkey,511793,redis,redis 8.8.0,1014160.7,987977.4,0.9742,466.175,4767.743,131219528,238354432,0,0.051
cap,10,4096,zipfian,16,1,aki redis valkey,511793,valkey,valkey 9.1.0,1284137.0,1251039.1,0.9742,327.679,5414.911,131473264,362086400,0,0.0475
cap,10,4096,zipfian,16,2,valkey redis aki,511793,f3,unknown,780641.9,780641.9,1,637.951,4489.215,145735088,813543424,2561200128,1
cap,10,4096,zipfian,16,2,valkey redis aki,511793,redis,redis 8.8.0,963999.7,939120.8,0.9742,488.959,5132.287,131573944,239640576,0,0.05
cap,10,4096,zipfian,16,2,valkey redis aki,511793,valkey,valkey 9.1.0,1272642.1,1239917.9,0.9743,331.007,5414.911,131749488,363839488,0,0.0535
