arm,mix,value_size,dist,scale,rep,order,keys,server,version,ops_per_sec,value_ops_per_sec,hit_ratio,p50_us,p99_us,used_memory,vmhwm_bytes,disk_bytes,coverage_fraction
data,50,16,uniform,1,1,aki redis valkey,1157049,f3,unknown,1756567.2,1756567.2,1,392.703,3479.551,73639088,106082304,0,1
data,50,16,uniform,1,1,aki redis valkey,1157049,redis,redis 8.8.0,2637130.6,2637130.6,1,277.247,2852.863,86499328,112619520,0,1
data,50,16,uniform,1,1,aki redis valkey,1157049,valkey,valkey 9.1.0,2870661.2,2870661.2,1,228.223,3962.879,74467680,86507520,0,1
data,50,16,uniform,1,2,valkey redis aki,1157049,f3,unknown,1759287.3,1759287.3,1,392.191,3459.071,73639088,105914368,0,1
data,50,16,uniform,1,2,valkey redis aki,1157049,redis,redis 8.8.0,2521074.2,2521074.2,1,290.815,2971.647,86489088,111443968,0,1
data,50,16,uniform,1,2,valkey redis aki,1157049,valkey,valkey 9.1.0,2895414.2,2895414.2,1,229.375,3903.487,74487200,86228992,0,1
data,50,16,uniform,4,1,aki redis valkey,4628197,f3,unknown,1748911.8,1748911.8,1,391.423,3540.991,294814896,363651072,0,1
data,50,16,uniform,4,1,aki redis valkey,4628197,redis,redis 8.8.0,2547639.2,2547639.2,1,291.583,2891.775,344057104,403329024,0,1
data,50,16,uniform,4,1,aki redis valkey,4628197,valkey,valkey 9.1.0,2865611.0,2865611.0,1,231.935,3833.855,295423264,316235776,0,1
data,50,16,uniform,4,2,valkey redis aki,4628197,f3,unknown,1748760.2,1748760.2,1,397.311,3510.271,294814896,366206976,0,1
data,50,16,uniform,4,2,valkey redis aki,4628197,redis,redis 8.8.0,2494252.2,2494252.2,1,297.727,2947.071,344078432,401092608,0,1
data,50,16,uniform,4,2,valkey redis aki,4628197,valkey,valkey 9.1.0,2814064.6,2814064.6,1,235.519,3952.639,295454240,315998208,0,1
data,50,16,uniform,16,1,aki redis valkey,18512790,f3,unknown,1729227.2,1729227.2,1,403.711,3475.455,1179571360,1392467968,0,1
data,50,16,uniform,16,1,aki redis valkey,18512790,redis,redis 8.8.0,2365509.1,2365509.1,1,323.327,2885.631,1374376792,1562152960,0,1
data,50,16,uniform,16,1,aki redis valkey,18512790,valkey,valkey 9.1.0,2615381.9,2615381.9,1,267.519,3860.479,1179293648,1235697664,0,1
data,50,16,uniform,16,2,valkey redis aki,18512790,f3,unknown,1730576.9,1730576.9,1,401.919,3502.079,1179571360,1384083456,0,1
data,50,16,uniform,16,2,valkey redis aki,18512790,redis,redis 8.8.0,2359211.3,2359211.3,1,323.583,2865.151,1374354216,1562112000,0,1
data,50,16,uniform,16,2,valkey redis aki,18512790,valkey,valkey 9.1.0,2643351.4,2643351.4,1,265.471,3862.527,1179341648,1235161088,0,1
data,50,16,zipfian,1,1,aki redis valkey,1157049,f3,unknown,1770028.3,1770028.3,1,381.183,3448.831,73639088,107094016,0,1
data,50,16,zipfian,1,1,aki redis valkey,1157049,redis,redis 8.8.0,2580526.4,2580526.4,1,277.503,2928.639,86492128,112726016,0,1
data,50,16,zipfian,1,1,aki redis valkey,1157049,valkey,valkey 9.1.0,2885409.6,2885409.6,1,224.127,3930.111,74485984,86421504,0,1
data,50,16,zipfian,1,2,valkey redis aki,1157049,f3,unknown,1769638.1,1769638.1,1,381.695,3565.567,73639088,106336256,0,1
data,50,16,zipfian,1,2,valkey redis aki,1157049,redis,redis 8.8.0,2487601.7,2487601.7,1,289.279,3006.463,86497440,110727168,0,1
data,50,16,zipfian,1,2,valkey redis aki,1157049,valkey,valkey 9.1.0,2832805.7,2832805.7,1,226.815,3921.919,74486048,86278144,0,1
