store,schedules,steps,nodes,groups,fault_pct,seed,appends,grants_ok,grants_rej,sections_live,sections_dead,members_stale,crashes,violations
sim,20,300,16,32,0,9001,3692,1093,414,30,370,91,40,0
sim,20,300,16,32,15,9101,3754,1098,412,31,384,99,40,0
sim,20,300,16,32,40,9201,3750,1107,424,24,368,102,40,0
minio,3,200,16,32,15,9301,406,119,62,3,45,9,6,0
