merge-versus-probe crossover sweep, 2026-07-11
total op ns per kernel; perOut is ns per matched member; crossover = least k with probe < merge

card   sz    k    ov       out     probeNs     mergeNs    gallopNs   ns/prb   ns/elm
100k   32    1  0.50     50000     1703260     1892297     2024094     17.0     9.46

100k   32    1  0.90     90000     2161341     2154454     2122134     21.6    10.77

100k   32    2  0.10     10000     1281783     1677250     1556251     12.8     5.59

100k   32    2  0.50     50000     1990697     2328445     2429912     19.9     7.76

100k   32    2  0.90     90000     2641679     3081550     3037143     26.4    10.27

100k   32    4  0.10     10000     1470172     2345028     1945712     14.7     4.69

100k   32    4  0.50     50000     2378331     3216746     3015940     23.8     6.43

100k   32    4  0.90     90000     3216187     4120639     3638025     32.2     8.24

100k   32    7  0.10     10000     1325577     3378366     2274127     13.3     4.22

100k   32    7  0.50     50000     2907692     4645982     3902795     29.1     5.81

100k   32    7  0.90     90000     4104360     5654630     4584947     41.0     7.07

100k   32    8  0.10     10000     1687713     3706753     2402208     16.9     4.12

100k   32    8  0.50     50000     3256675     5535002     4850895     32.6     6.15

100k   32    8  0.90     90000     4277177     6196832     5619763     42.8     6.89

100k   32   16  0.10     10000     2236343     6361319     3457503     22.4     3.74

100k   32   16  0.50     50000     6457439     9691095     7078706     64.6     5.70

100k   32   16  0.90     90000     8526922    12612364     9797073     85.3     7.42

100k   32   32  0.10     10000     2407314    11180191     5511800     24.1     3.39

100k   32   32  0.50     50000     9653392    15527298     8987555     96.5     4.71

100k   32   32  0.90     90000    14204803    18908652    11825930    142.0     5.73

100k   32   64  0.10     10000     2988884    21433453     7862571     29.9     3.30

100k   32   64  0.50     50000    11315452    26151224    12078192    113.2     4.02

100k   32   64  0.90     90000    19917744    30529834    15258017    199.2     4.70

100k   64    1  0.10     10000     1269236     1446786     1367713     12.7     7.23

100k   64    1  0.50     50000     2152100     2708347     2754804     21.5    13.54

100k   64    1  0.90     90000     2924330     3768889     3727496     29.2    18.84

100k   64    2  0.10     10000     1453737     1838803     1722029     14.5     6.13

100k   64    2  0.50     50000     2491060     3287545     3349300     24.9    10.96

100k   64    2  0.90     90000     3429045     4756413     4547755     34.3    15.85

100k   64    4  0.10     10000     1571180     2536582     2217792     15.7     5.07

100k   64    4  0.50     50000     3151192     4596595     4617658     31.5     9.19

100k   64    4  0.90     90000     4387478     6959664     6239355     43.9    13.92

100k   64    7  0.10     10000     1557310     3557751     2647459     15.6     4.45

100k   64    7  0.50     50000     4630959     6940747     6559195     46.3     8.68

100k   64    7  0.90     90000     5716243     9883522     8002584     57.2    12.35

100k   64    8  0.10     10000     1904829     3950777     2684544     19.0     4.39

100k   64    8  0.50     50000     4184488     7767987     6941273     41.8     8.63

100k   64    8  0.90     90000     5582970    11488549    10481430     55.8    12.77

100k   64   16  0.10     10000     2217314     6570080     4238983     22.2     3.86

100k   64   16  0.50     50000     8571297    13599647     8825834     85.7     8.00

100k   64   16  0.90     90000    10930330    15452269    12872729    109.3     9.09

100k   64   32  0.10     10000     2769540    11710182     6139902     27.7     3.55

100k   64   32  0.50     50000    10624440    16531197    10883944    106.2     5.01

100k   64   32  0.90     90000    16861823    21262737    15292988    168.6     6.44

100k   64   64  0.10     10000     3293560    23783865     8196980     32.9     3.66

100k   64   64  0.50     50000    10364240    30064981    13436505    103.6     4.63

100k   64   64  0.90     90000    12797759    32279319    17082854    128.0     4.97

crossover k (least k with probeNs < mergeNs), streaming merge:
card   sz    ov     crossK
1k      8  0.10          1
1k      8  0.50          1
1k      8  0.90          1
1k     32  0.10          1
1k     32  0.50          1
1k     32  0.90          1
1k     64  0.10          1
1k     64  0.50          1
1k     64  0.90          1
100k    8  0.10          1
100k    8  0.50          1
100k    8  0.90          1
100k   32  0.10          1
100k   32  0.50          1
100k   32  0.90          2
100k   64  0.10          1
100k   64  0.50          1
100k   64  0.90          1

model crossover k = perProbe/perMergeElem - 1 (miss-path ov=0.10 rows):
card   sz   ns/prb   ns/elm  kMeasured  kAt40nsDRAM
1k      8      4.1     4.68       -0.1          7.5
1k     32      5.6     4.73        0.2          7.5
1k     64      6.3     4.83        0.3          7.3
100k    8     15.2     3.49        3.4         10.5
100k   32     23.3     3.64        5.4         10.0
100k   64     25.5     3.87        5.6          9.3
