arm,mix,value_size,dist,scale,rep,order,keys,server,version,ops_per_sec,value_ops_per_sec,hit_ratio,p50_us,p99_us,used_memory,vmhwm_bytes,disk_bytes,coverage_fraction
cap,50,16,uniform,1,1,aki redis valkey,1157049,f3,unknown,1760524.2,1760524.2,1,389.631,3500.031,73639088,108138496,0,1
cap,50,16,uniform,1,1,aki redis valkey,1157049,redis,redis 8.8.0,2532366.3,2532366.3,1,294.655,2846.719,86488144,110854144,0,1
cap,50,16,uniform,1,1,aki redis valkey,1157049,valkey,valkey 9.1.0,2757674.8,2757674.8,1,247.423,3815.423,74483856,86552576,0,1
cap,50,16,uniform,1,2,valkey redis aki,1157049,f3,unknown,1758567.7,1758567.7,1,389.887,3500.031,73639088,106053632,0,1
cap,50,16,uniform,1,2,valkey redis aki,1157049,redis,redis 8.8.0,2442950.9,2442950.9,1,305.919,2988.031,86487200,110428160,0,1
cap,50,16,uniform,1,2,valkey redis aki,1157049,valkey,valkey 9.1.0,2764884.2,2764884.2,1,247.295,3825.663,74481104,86302720,0,1
cap,50,16,uniform,4,1,aki redis valkey,4628197,f3,unknown,515217.5,515217.5,1,1939.455,3209.215,294814896,365060096,0,1
cap,50,16,uniform,4,1,aki redis valkey,4628197,redis,redis 8.8.0,1626337.4,1152840.2,0.7089,379.903,2863.103,133802024,151580672,0,0.39
cap,50,16,uniform,4,1,aki redis valkey,4628197,valkey,valkey 9.1.0,1794928.5,1349192.2,0.7517,455.423,3039.231,134019832,148463616,0,0.466
cap,50,16,uniform,4,2,valkey redis aki,4628197,f3,unknown,512312.2,512312.2,1,1944.575,3256.319,294814896,364806144,0,1
cap,50,16,uniform,4,2,valkey redis aki,4628197,redis,redis 8.8.0,1636499.1,1164408.4,0.7115,381.695,2899.967,133855008,153612288,0,0.3805
cap,50,16,uniform,4,2,valkey redis aki,4628197,valkey,valkey 9.1.0,1788666.1,1344757.3,0.7518,456.959,3053.567,134024744,148205568,0,0.4645
cap,50,16,uniform,16,1,aki redis valkey,18512790,f3,unknown,465789.4,465789.4,1,2144.255,3530.751,1179571360,1356115968,0,1
cap,50,16,uniform,16,1,aki redis valkey,18512790,redis,redis 8.8.0,1400221.8,780120.1,0.5571,426.751,2918.399,133832800,153042944,0,0.088
cap,50,16,uniform,16,1,aki redis valkey,18512790,valkey,valkey 9.1.0,1463413.7,831228.1,0.568,629.247,2582.527,134035360,148975616,0,0.1125
cap,50,16,uniform,16,2,valkey redis aki,18512790,f3,unknown,463965.6,463965.6,1,2148.351,3577.855,1179571360,1362014208,0,1
cap,50,16,uniform,16,2,valkey redis aki,18512790,redis,redis 8.8.0,1388492.8,773527.4,0.5571,428.543,2947.071,133798296,154226688,0,0.087
cap,50,16,uniform,16,2,valkey redis aki,18512790,valkey,valkey 9.1.0,1465258.7,831393.5,0.5674,631.807,2545.663,134022208,149155840,0,0.0955
cap,50,16,zipfian,1,1,aki redis valkey,1157049,f3,unknown,1776314.9,1776314.9,1,382.207,3471.359,73639088,105930752,0,1
cap,50,16,zipfian,1,1,aki redis valkey,1157049,redis,redis 8.8.0,2505114.1,2505114.1,1,293.887,2889.727,86481248,110927872,0,1
cap,50,16,zipfian,1,1,aki redis valkey,1157049,valkey,valkey 9.1.0,2736001.8,2736001.8,1,245.759,3862.527,74489040,86601728,0,1
cap,50,16,zipfian,1,2,valkey redis aki,1157049,f3,unknown,1770246.3,1770246.3,1,384.255,3424.255,73639088,105947136,0,1
cap,50,16,zipfian,1,2,valkey redis aki,1157049,redis,redis 8.8.0,2410341.5,2410341.5,1,306.175,2938.879,86497408,112779264,0,1
cap,50,16,zipfian,1,2,valkey redis aki,1157049,valkey,valkey 9.1.0,2722535.1,2722535.1,1,245.503,3885.055,74481296,86306816,0,1
cap,50,16,zipfian,4,1,aki redis valkey,4628197,f3,unknown,520845.7,520845.7,1,1917.951,3145.727,294814896,361525248,0,1
cap,50,16,zipfian,4,1,aki redis valkey,4628197,redis,redis 8.8.0,2254358.0,2136749.8,0.9478,316.159,2910.207,133840424,154054656,0,0.3875
cap,50,16,zipfian,4,1,aki redis valkey,4628197,valkey,valkey 9.1.0,2380462.0,2282369.8,0.9588,303.103,3641.343,134027152,147959808,0,0.4825
cap,50,16,zipfian,4,2,valkey redis aki,4628197,f3,unknown,522933.2,522933.2,1,1909.759,3123.199,294814896,365764608,0,1
cap,50,16,zipfian,4,2,valkey redis aki,4628197,redis,redis 8.8.0,2205005.9,2089064.3,0.9474,322.559,2969.599,133771248,151719936,0,0.4075
cap,50,16,zipfian,4,2,valkey redis aki,4628197,valkey,valkey 9.1.0,2419327.1,2321072.8,0.9594,294.399,3657.727,134012600,147976192,0,0.47
cap,50,16,zipfian,16,1,aki redis valkey,18512790,f3,unknown,469776.6,469776.6,1,2123.775,3563.519,1179571360,1353662464,0,1
cap,50,16,zipfian,16,1,aki redis valkey,18512790,redis,redis 8.8.0,2045753.3,1819029.3,0.8892,329.983,2955.263,133791104,154255360,0,0.094
cap,50,16,zipfian,16,1,aki redis valkey,18512790,valkey,valkey 9.1.0,2168674.5,1935457.4,0.8925,342.783,3407.871,134028240,150265856,0,0.1095
cap,50,16,zipfian,16,2,valkey redis aki,18512790,f3,unknown,473262.7,473262.7,1,2109.439,3508.223,1179571360,1361543168,0,1
cap,50,16,zipfian,16,2,valkey redis aki,18512790,redis,redis 8.8.0,2026753.3,1804562.1,0.8904,332.287,2936.831,133798688,154226688,0,0.0975
cap,50,16,zipfian,16,2,valkey redis aki,18512790,valkey,valkey 9.1.0,2151571.7,1919043.7,0.8919,340.991,3518.463,134024800,150159360,0,0.1175
cap,50,128,uniform,1,1,aki redis valkey,588674,f3,unknown,1762874.2,1762874.2,1,390.911,3444.735,103258560,138919936,0,1
cap,50,128,uniform,1,1,aki redis valkey,588674,redis,redis 8.8.0,2374882.6,2374882.6,1,333.055,2643.967,125056440,153280512,0,1
cap,50,128,uniform,1,1,aki redis valkey,588674,valkey,valkey 9.1.0,2546688.6,2546688.6,1,273.663,3932.159,123756368,226435072,0,1
cap,50,128,uniform,1,2,valkey redis aki,588674,f3,unknown,1762076.6,1762076.6,1,389.631,3534.847,103258560,138682368,0,1
cap,50,128,uniform,1,2,valkey redis aki,588674,redis,redis 8.8.0,2309618.0,2309618.0,1,339.455,2777.087,125047944,152821760,0,1
cap,50,128,uniform,1,2,valkey redis aki,588674,valkey,valkey 9.1.0,2484323.6,2484323.6,1,283.135,3946.495,123753424,225562624,0,1
cap,50,128,uniform,4,1,aki redis valkey,2354696,f3,unknown,508556.5,508556.5,1,1956.863,3274.751,413242944,464216064,0,1
cap,50,128,uniform,4,1,aki redis valkey,2354696,redis,redis 8.8.0,1422998.5,910746.7,0.64,663.039,2168.831,133715640,246231040,0,0.2585
cap,50,128,uniform,4,1,aki redis valkey,2354696,valkey,valkey 9.1.0,1476789.2,947934.2,0.6419,610.303,2768.895,133942152,261738496,0,0.272
cap,50,128,uniform,4,2,valkey redis aki,2354696,f3,unknown,508046.3,508046.3,1,1961.983,3264.511,413242944,460181504,0,1
cap,50,128,uniform,4,2,valkey redis aki,2354696,redis,redis 8.8.0,1395790.4,893406.6,0.6401,665.087,2297.855,133703024,244109312,0,0.2605
cap,50,128,uniform,4,2,valkey redis aki,2354696,valkey,valkey 9.1.0,1493071.2,958497.6,0.642,598.015,2852.863,133971096,259772416,0,0.275
cap,50,128,uniform,16,1,aki redis valkey,9418787,f3,unknown,27012.7,18642.9,0.6902,61865.983,68026.367,1160704672,1257447424,0,0.7245
cap,50,128,uniform,16,1,aki redis valkey,9418787,redis,redis 8.8.0,1317351.9,711498.2,0.5401,764.415,2191.359,133824616,250728448,0,0.061
cap,50,128,uniform,16,1,aki redis valkey,9418787,valkey,valkey 9.1.0,1395601.6,754339.6,0.5405,652.799,2764.799,134051992,255602688,0,0.072
cap,50,128,uniform,16,2,valkey redis aki,9418787,f3,unknown,26720.3,18438.3,0.69,62226.431,68550.655,1160704672,1250029568,0,0.7245
cap,50,128,uniform,16,2,valkey redis aki,9418787,redis,redis 8.8.0,1308629.7,706849.2,0.5401,769.535,2191.359,133871856,251232256,0,0.063
cap,50,128,uniform,16,2,valkey redis aki,9418787,valkey,valkey 9.1.0,1375141.0,743302.5,0.5405,667.135,2715.647,134039112,214458368,0,0.064
cap,50,128,zipfian,1,1,aki redis valkey,588674,f3,unknown,1769238.8,1769238.8,1,385.791,3434.495,103258560,138473472,0,1
cap,50,128,zipfian,1,1,aki redis valkey,588674,redis,redis 8.8.0,2397500.8,2397500.8,1,323.583,2686.975,125059864,153047040,0,1
cap,50,128,zipfian,1,1,aki redis valkey,588674,valkey,valkey 9.1.0,2480202.0,2480202.0,1,281.599,3923.967,123760144,216002560,0,1
cap,50,128,zipfian,1,2,valkey redis aki,588674,f3,unknown,1767137.0,1767137.0,1,383.487,3479.551,103258560,139026432,0,1
cap,50,128,zipfian,1,2,valkey redis aki,588674,redis,redis 8.8.0,2312999.1,2312999.1,1,332.799,2828.287,125054888,152801280,0,1
cap,50,128,zipfian,1,2,valkey redis aki,588674,valkey,valkey 9.1.0,2555024.9,2555024.9,1,268.031,3964.927,123764560,214880256,0,1
