target	workload	rep1	rep2	rep3	median_ops_s	worst_p99_ms
aki	set	11399260	11399260	11399260	11399260	1.335
aki	get	11399260	11392766	11399260	11399260	1.247
redis	set	3329449	3329726	3329449	3329449	3.735
redis	get	3994807	3994807	3995206	3994807	2.391
valkey	set	2754631	2753873	2754821	2754631	3.943
valkey	get	3804090	3803728	3803366	3803728	2.663
