arm,mix,value_size,dist,scale,rep,order,keys,server,version,ops_per_sec,value_ops_per_sec,hit_ratio,p50_us,p99_us,used_memory,vmhwm_bytes,disk_bytes,coverage_fraction
cap,90,16,zipfian,16,2,valkey redis aki,18512790,valkey,valkey 9.1.0,2699150.5,2054996.2,0.7613,249.215,3790.847,134031784,148963328,0,0.1115
cap,90,128,uniform,1,1,aki redis valkey,588674,sqlo1,,1212610.9,1212610.9,1,446.719,4345.855,0,405970944,0,1
cap,90,128,uniform,1,1,aki redis valkey,588674,redis,redis 8.8.0,2452320.2,2452320.2,1,314.111,2742.271,125059752,144859136,0,1
cap,90,128,uniform,1,1,aki redis valkey,588674,valkey,valkey 9.1.0,2881489.1,2881489.1,1,225.535,3962.879,123757648,193716224,0,1
cap,90,128,uniform,1,2,valkey redis aki,588674,sqlo1,,1222638.9,1222638.9,1,443.903,4296.703,0,405868544,0,1
cap,90,128,uniform,1,2,valkey redis aki,588674,redis,redis 8.8.0,2367771.7,2367771.7,1,328.959,2740.223,125057768,144732160,0,1
cap,90,128,uniform,1,2,valkey redis aki,588674,valkey,valkey 9.1.0,2879529.0,2879529.0,1,226.687,3989.503,123762640,192520192,0,1
cap,90,128,uniform,4,1,aki redis valkey,2354696,sqlo1,,1142211.0,1142211.0,1,358.911,4816.895,0,1490374656,0,1
cap,90,128,uniform,4,1,aki redis valkey,2354696,redis,redis 8.8.0,2241259.8,774415.2,0.3455,336.895,2500.607,133733896,234782720,0,0.25
cap,90,128,uniform,4,1,aki redis valkey,2354696,valkey,valkey 9.1.0,2661884.8,928496.6,0.3488,271.615,3715.071,133963208,257822720,0,0.259
cap,90,128,uniform,4,2,valkey redis aki,2354696,sqlo1,,1142359.5,1142359.5,1,340.479,4841.471,0,1477324800,0,1
cap,90,128,uniform,4,2,valkey redis aki,2354696,redis,redis 8.8.0,2166593.1,749118.1,0.3458,346.111,2658.303,133701248,234319872,0,0.2505
