build,objects=440,bytes=157424272,wall_s=2.3
term,release,reps=40,p50_ms=30.2,p99_ms=235.0
term,observe,reps=40,p50_ms=57.8,p99_ms=196.8
term,grant,reps=40,p50_ms=47.8,p99_ms=336.6
term,replay,depth=0,p50_ms=0.0,p99_ms=0.0
term,replay,depth=1,p50_ms=21.5,p99_ms=140.5
term,replay,depth=4,p50_ms=112.8,p99_ms=247.5
warm_window,depth=0,reps=40,p50_ms=144.7,p99_ms=465.3,segment_gets=0
warm_window,depth=1,reps=40,p50_ms=175.1,p99_ms=568.2,segment_gets=0
warm_window,depth=4,reps=40,p50_ms=280.5,p99_ms=532.5,segment_gets=0
warm_ops,gets=360,puts=80,per_rep_gets=9,per_rep_puts=2,size_dependent_ops=0
rebuild,n=8,fan=1,reps=3,p50_ms=271,ms_per_seg=33.8,records=32768
rebuild,n=8,fan=8,reps=3,p50_ms=54,ms_per_seg=6.8,records=32768
rebuild,n=8,fan=32,reps=3,p50_ms=90,ms_per_seg=11.2,records=32768
rebuild,n=32,fan=1,reps=3,p50_ms=965,ms_per_seg=30.1,records=131072
rebuild,n=32,fan=8,reps=3,p50_ms=217,ms_per_seg=6.8,records=131072
rebuild,n=32,fan=32,reps=3,p50_ms=146,ms_per_seg=4.6,records=131072
rebuild,n=128,fan=1,reps=3,p50_ms=4348,ms_per_seg=34.0,records=524288
rebuild,n=128,fan=8,reps=3,p50_ms=896,ms_per_seg=7.0,records=524288
rebuild,n=128,fan=32,reps=3,p50_ms=620,ms_per_seg=4.8,records=524288
rebuild,n=256,fan=1,reps=3,p50_ms=8123,ms_per_seg=31.7,records=1048576
rebuild,n=256,fan=8,reps=3,p50_ms=1148,ms_per_seg=4.5,records=1048576
rebuild,n=256,fan=32,reps=3,p50_ms=476,ms_per_seg=1.9,records=1048576
replay_sweep,depth=1,reps=10,p50_ms=29.3,p99_ms=113.7
replay_sweep,depth=4,reps=10,p50_ms=120.3,p99_ms=155.7
replay_sweep,depth=16,reps=10,p50_ms=488.9,p99_ms=728.6
cold_takeover,n=8,fan=1,composed_p50_ms=489
cold_takeover,n=8,fan=8,composed_p50_ms=273
cold_takeover,n=8,fan=32,composed_p50_ms=308
cold_takeover,n=32,fan=1,composed_p50_ms=1183
cold_takeover,n=32,fan=8,composed_p50_ms=436
cold_takeover,n=32,fan=32,composed_p50_ms=365
cold_takeover,n=128,fan=1,composed_p50_ms=4566
cold_takeover,n=128,fan=8,composed_p50_ms=1114
cold_takeover,n=128,fan=32,composed_p50_ms=838
cold_takeover,n=256,fan=1,composed_p50_ms=8342
cold_takeover,n=256,fan=8,composed_p50_ms=1366
cold_takeover,n=256,fan=32,composed_p50_ms=695
