arm,mix,value_size,dist,scale,rep,order,keys,server,version,ops_per_sec,value_ops_per_sec,hit_ratio,p50_us,p99_us,used_memory,vmhwm_bytes,disk_bytes,coverage_fraction
cap,90,16,uniform,1,1,aki redis valkey,1157049,f3,unknown,1784672.1,1784672.1,1,380.671,3575.807,73639088,105689088,0,1
cap,90,16,uniform,1,1,aki redis valkey,1157049,redis,redis 8.8.0,2673689.2,2673689.2,1,269.567,2920.447,86477232,110460928,0,1
cap,90,16,uniform,1,1,aki redis valkey,1157049,valkey,valkey 9.1.0,3016025.1,3016025.1,1,212.351,3934.207,74487632,86470656,0,1
cap,90,16,uniform,1,2,valkey redis aki,1157049,f3,unknown,1775931.1,1775931.1,1,386.303,3465.215,73639088,106438656,0,1
cap,90,16,uniform,1,2,valkey redis aki,1157049,redis,redis 8.8.0,2575633.8,2575633.8,1,282.623,2981.887,86492048,110714880,0,1
cap,90,16,uniform,1,2,valkey redis aki,1157049,valkey,valkey 9.1.0,3035100.9,3035100.9,1,211.455,3901.439,74485392,86200320,0,1
cap,90,16,uniform,4,1,aki redis valkey,4628197,f3,unknown,522903.7,522903.7,1,1905.663,3188.735,294814896,367206400,0,1
cap,90,16,uniform,4,1,aki redis valkey,4628197,redis,redis 8.8.0,2433462.5,1136341.6,0.467,282.367,2859.007,133799408,153702400,0,0.386
cap,90,16,uniform,4,1,aki redis valkey,4628197,valkey,valkey 9.1.0,2767898.6,1480470.6,0.5349,248.319,3737.599,134043216,148094976,0,0.4535
cap,90,16,uniform,4,2,valkey redis aki,4628197,f3,unknown,522962.8,522962.8,1,1906.687,3178.495,294814896,365326336,0,1
cap,90,16,uniform,4,2,valkey redis aki,4628197,redis,redis 8.8.0,2377075.0,1109944.6,0.4669,292.351,2889.727,133788352,153722880,0,0.377
cap,90,16,uniform,4,2,valkey redis aki,4628197,valkey,valkey 9.1.0,2723252.7,1459373.9,0.5359,252.543,3737.599,134028848,147873792,0,0.455
cap,90,16,uniform,16,1,aki redis valkey,18512790,f3,unknown,475756.7,475756.7,1,2099.199,3452.927,1179571360,1375760384,0,1
cap,90,16,uniform,16,1,aki redis valkey,18512790,redis,redis 8.8.0,2367654.9,462341.5,0.1953,278.271,2926.591,133789360,152330240,0,0.1015
cap,90,16,uniform,16,1,aki redis valkey,18512790,valkey,valkey 9.1.0,2661211.4,570937.0,0.2145,257.919,3694.591,134037400,149053440,0,0.113
cap,90,16,uniform,16,2,valkey redis aki,18512790,f3,unknown,476024.7,476024.7,1,2103.295,3395.583,1179571360,1392115712,0,1
cap,90,16,uniform,16,2,valkey redis aki,18512790,redis,redis 8.8.0,2319092.8,454653.8,0.196,280.575,2945.023,133796640,154238976,0,0.095
cap,90,16,uniform,16,2,valkey redis aki,18512790,valkey,valkey 9.1.0,2635958.2,565222.3,0.2144,263.935,3590.143,134046064,147992576,0,0.1145
cap,90,16,zipfian,1,1,aki redis valkey,1157049,f3,unknown,1783371.7,1783371.7,1,376.575,3504.127,73639088,105861120,0,1
cap,90,16,zipfian,1,1,aki redis valkey,1157049,redis,redis 8.8.0,2604292.4,2604292.4,1,272.127,2979.839,86487696,113119232,0,1
cap,90,16,zipfian,1,1,aki redis valkey,1157049,valkey,valkey 9.1.0,3008343.1,3008343.1,1,207.231,3917.823,74487696,86450176,0,1
cap,90,16,zipfian,1,2,valkey redis aki,1157049,f3,unknown,1769389.4,1769389.4,1,378.111,3579.903,73639088,105480192,0,1
cap,90,16,zipfian,1,2,valkey redis aki,1157049,redis,redis 8.8.0,2507705.9,2507705.9,1,286.719,3035.135,86481664,112652288,0,1
cap,90,16,zipfian,1,2,valkey redis aki,1157049,valkey,valkey 9.1.0,3025055.5,3025055.5,1,207.487,3864.575,74493648,86319104,0,1
cap,90,16,zipfian,4,1,aki redis valkey,4628197,f3,unknown,524212.3,524212.3,1,1899.519,3194.879,294814896,364777472,0,1
cap,90,16,zipfian,4,1,aki redis valkey,4628197,redis,redis 8.8.0,2488951.7,2145936.5,0.8622,286.975,2957.311,133787120,154009600,0,0.4015
cap,90,16,zipfian,4,1,aki redis valkey,4628197,valkey,valkey 9.1.0,2734495.0,2434530.8,0.8903,247.295,3827.711,134039288,148037632,0,0.4585
cap,90,16,zipfian,4,2,valkey redis aki,4628197,f3,unknown,532225.0,532225.0,1,1878.015,3047.423,294814896,363249664,0,1
cap,90,16,zipfian,4,2,valkey redis aki,4628197,redis,redis 8.8.0,2446098.3,2106396.7,0.8611,291.071,2973.695,133798928,153849856,0,0.3905
cap,90,16,zipfian,4,2,valkey redis aki,4628197,valkey,valkey 9.1.0,2757912.2,2455694.0,0.8904,245.631,3799.039,134031928,147841024,0,0.4755
cap,90,16,zipfian,16,1,aki redis valkey,18512790,f3,unknown,475768.2,475768.2,1,2101.247,3446.783,1179571360,1374302208,0,1
cap,90,16,zipfian,16,1,aki redis valkey,18512790,redis,redis 8.8.0,2429382.3,1795854.8,0.7392,287.231,2955.263,133825912,152141824,0,0.096
