arm,mix,value_size,dist,scale,rep,order,keys,server,version,ops_per_sec,value_ops_per_sec,hit_ratio,p50_us,p99_us,used_memory,vmhwm_bytes,disk_bytes,coverage_fraction
cap,10,16,uniform,1,2,valkey redis aki,1157049,valkey,valkey 9.1.0,2541158.8,2541158.8,1,276.991,3862.527,74477008,86323200,0,1
cap,10,16,uniform,16,1,aki redis valkey,18512790,f3,unknown,463873.6,463873.6,1,2156.543,3516.415,1179571360,1377918976,0,1
cap,10,16,uniform,16,1,aki redis valkey,18512790,redis,redis 8.8.0,989166.7,901588.2,0.9115,1035.775,2885.631,133826784,154353664,0,0.0835
cap,10,16,uniform,16,1,aki redis valkey,18512790,valkey,valkey 9.1.0,988982.5,903575.8,0.9136,1030.143,1755.135,134015088,149114880,0,0.1135
cap,10,16,uniform,16,2,valkey redis aki,18512790,f3,unknown,462187.3,462187.3,1,2158.591,3586.047,1179571360,1368141824,0,1
cap,10,16,uniform,16,2,valkey redis aki,18512790,redis,redis 8.8.0,991178.8,903290.6,0.9113,1023.487,2893.823,133826096,152014848,0,0.0915
cap,10,16,uniform,16,2,valkey redis aki,18512790,valkey,valkey 9.1.0,956928.0,874355.9,0.9137,1067.007,1802.239,134013288,148328448,0,0.1125
cap,10,16,uniform,4,1,aki redis valkey,4628197,f3,unknown,510114.4,510114.4,1,1956.863,3258.367,294814896,364015616,0,1
cap,10,16,uniform,4,1,aki redis valkey,4628197,redis,redis 8.8.0,1261074.7,1189994.1,0.9436,534.015,2734.079,133855320,151515136,0,0.3715
cap,10,16,uniform,4,1,aki redis valkey,4628197,valkey,valkey 9.1.0,1337194.1,1272569.2,0.9517,697.855,2506.751,134047600,148746240,0,0.4645
cap,10,16,uniform,4,2,valkey redis aki,4628197,f3,unknown,512178.3,512178.3,1,1951.743,3182.591,294814896,364593152,0,1
cap,10,16,uniform,4,2,valkey redis aki,4628197,redis,redis 8.8.0,1237832.5,1168054.9,0.9436,554.495,2815.999,133782256,153686016,0,0.392
cap,10,16,uniform,4,2,valkey redis aki,4628197,valkey,valkey 9.1.0,1320957.3,1257065.7,0.9516,710.655,2476.031,134030568,148619264,0,0.458
cap,10,16,zipfian,1,1,aki redis valkey,1157049,f3,unknown,1775183.8,1775183.8,1,385.535,3407.871,73639088,107130880,0,1
cap,10,16,zipfian,1,1,aki redis valkey,1157049,redis,redis 8.8.0,2394538.3,2394538.3,1,313.087,2961.407,86490432,112517120,0,1
cap,10,16,zipfian,1,1,aki redis valkey,1157049,valkey,valkey 9.1.0,2511978.9,2511978.9,1,277.247,3876.863,74473232,86650880,0,1
