store,chunk_kib,mix,dist,keys,val_mb,workload,ops,ns_per_op,ops_per_s,p50_ns,p99_ns,max_ns,wa,file_mb,wal_mb,vmhwm_mb
a,32,getrange,uniform,32,8,load,32,17398224,57,0,0,0,0.0,265.3,0.0,0.0
a,32,getrange,uniform,32,8,getrange-write,19967,48871,20462,46500,124667,356542,504.6,0.0,0.0,0.0
a,32,getrange,uniform,32,8,getrange-read,180033,52087,19199,46166,123667,8754541,0.0,0.0,0.0,0.0
a,32,getrange,uniform,32,8,flush,77,14612430,68,0,0,19811292,0.0,265.3,15.9,0.0
a,32,setbit,zipf,32,8,load,32,18112936,55,0,0,0,0.0,265.3,0.0,0.0
a,32,setbit,zipf,32,8,setbit-write,179899,39708,25184,45250,119875,4170416,26006.9,0.0,0.0,0.0
a,32,setbit,zipf,32,8,setbit-read,20101,37941,26357,43834,104708,2357041,0.0,0.0,0.0,0.0
a,32,setbit,zipf,32,8,flush,558,12971024,77,0,0,19528166,0.0,265.3,17.0,0.0
a,64,setrange,uniform,32,8,load,32,16055965,62,0,0,0,0.0,260.7,0.0,0.0
a,64,setrange,uniform,32,8,setrange-write,180033,89477,11176,85084,196875,2220500,1009.0,0.0,0.0,0.0
a,64,setrange,uniform,32,8,setrange-read,19967,90408,11061,83542,198292,629750,0.0,0.0,0.0,0.0
a,64,setrange,uniform,32,8,flush,1386,12192265,82,0,0,22271750,0.0,260.7,8.1,0.0
a,64,append,uniform,32,8,load,32,82788,12079,0,0,0,0.0,2.1,0.0,0.0
a,64,append,uniform,32,8,append-write,179928,67,14868482,41,84,201375,1.0,0.0,0.0,0.0
a,64,append,uniform,32,8,append-read,20072,32221,31036,31083,90250,372250,0.0,0.0,0.0,0.0
a,64,append,uniform,32,8,flush,2,7336834,136,0,0,7831459,0.0,2.1,11.9,0.0
a,64,setbit,uniform,32,8,load,32,16594792,60,0,0,0,0.0,260.8,0.0,0.0
a,64,setbit,uniform,32,8,setbit-write,179968,88412,11311,83833,201291,3397625,64518.9,0.0,0.0,0.0
a,64,setbit,uniform,32,8,setbit-read,20032,84409,11847,81458,175000,727583,0.0,0.0,0.0,0.0
a,64,setbit,uniform,32,8,flush,1385,12719321,79,0,0,20451416,0.0,260.8,8.2,0.0
