server	config	set_rep1	set_rep2	set_rep3	set_median	get_rep1	get_rep2	get_rep3	get_median	vmhwm_kb
reactor	default net-loops=0 (=7) shards=8	9122007	9119408	9122007	9122007	9116809	9114213	9114213	9114213	207472
redis	io-threads=6	3366649	3364879	3363818	3364879	4260418	4260985	4259851	4260418	200176
valkey	io-threads=4 do-reads	2778019	2778502	2777778	2778019	3758957	3759398	3758516	3758957	132128
